Group,Filter,URL
Gender,Men,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=416&f%5B0%5D.ValueId=8895
Gender,Women,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=416&f%5B0%5D.ValueId=8896
Gender,Junior,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=416&f%5B0%5D.ValueId=10462
Garment Type,One Piece & Bib & Brace Trousers,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=13232
Garment Type,Pirate Trousers,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=13233
Garment Type,Shorts,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=13234
Garment Type,T-Shirts & Long Sleeve T-Shirts,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=13235
Garment Type,Polo Shirts,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=13237
Garment Type,Shirts,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=13238
Garment Type,Jackets,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=13241
Garment Type,Vests,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=13242
Garment Type,Trousers,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394246
Garment Type,Shell Trousers,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394247
Garment Type,Sweatshirts & Hoodies,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394248
Garment Type,Fleece,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394249
Garment Type,Softshell,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394250
Garment Type,Baselayer,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394251
Garment Type,Underwear,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394252
Garment Type,Gloves,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394253
Garment Type,Kneepads,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394254
Garment Type,Tool Carriers,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394255
Garment Type,Belts & Braces,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394256
Garment Type,Bags,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394257
Garment Type,Caps & Headwear,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394258
Garment Type,Socks,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394259
Garment Type,Other Accessories,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=394260
Garment Type,Overalls,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=395218
Garment Type,Toolbelts,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=611&f%5B0%5D.ValueId=572528
Segment,Workwear,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=744&f%5B0%5D.ValueId=394243
Segment,Protective Wear,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=744&f%5B0%5D.ValueId=394244
Segment,Service Wear,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=744&f%5B0%5D.ValueId=394245
Material,Softshell,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=419&f%5B0%5D.ValueId=8908
Material,Polyethylene (PE),https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=419&f%5B0%5D.ValueId=9001
Material,Wool,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=419&f%5B0%5D.ValueId=9532
Material,Modacrylic,https://www.snickersworkwear.com/products/all-products?f%5B0%5D.AttrId=419&f%5B0%5D.ValueId=323000
