Group,Filter,SKUs (June '24),SKUs (Jan '25),SKUs (May '25)
Gender,Men,"1112, 1158, 1304, 1106, 1801, 4502, 4558, 5400, 5401, 5900, 5901, 6590, 8102, 1100, 1950, 2894, 6241, 6341, 8020, 8021, 8023, 8026, 8042, 8045, 8520, 8521, 9480, 9481, 9482, 9483, 9484, 9485, 9486, 9491, 9492, 9493, 9494, 9562, 1130, 1200, 1205, 1218, 1230, 1330, 1902, 1908, 1915, 1940, 1948, 1980, 2586, 2590, 2718, 2810, 2898, 2899, 3223, 4505, 6100, 6108, 6110, 6112, 6140, 6141, 6172, 6173, 6175, 6178, 6201, 6208, 6210, 6214, 6224, 6251, 6271, 6275, 6310, 6314, 6324, 6351, 6371, 6375, 6515, 6580, 6593, 6800, 6801, 6803, 6873, 6901, 6923, 6934, 6940, 6943, 6948, 6972, 8004, 8018, 8041, 8044, 8059, 8075, 8101, 8134, 8400, 8404, 8405, 9031, 9046, 9048, 9122, 9212, 9228, 9229, 9246, 9913, 1102, 1132, 1148, 1229, 1300, 1830, 1981, 2405, 2411, 2427, 2431, 2433, 2496, 2502, 2505, 2511, 2512, 2517, 2526, 2527, 2529, 2530, 2535, 2536, 2538, 2539, 2558, 2608, 2612, 2708, 2800, 2818, 2830, 2831, 2834, 2835, 2838, 2839, 2840, 2841, 2842, 2845, 2846, 2886, 2890, 2892, 2895, 2911, 3211, 3214, 4250, 4512, 4902, 6051, 6135, 6136, 6138, 6142, 6143, 6151, 6153, 6230, 6233, 6243, 6301, 6331, 6400, 6530, 6620, 6630, 6639, 6903, 6914, 6931, 6932, 6933, 6955, 6956, 8019, 8022, 8024, 8025, 8028, 8029, 8037, 8038, 8039, 8058, 8233, 8243, 8516, 8522, 9110, 9112, 9153, 9169, 9214, 9216, 9220, 9221, 9224, 9225, 9226, 9240, 9436, 9448, 9453, 9901, 1138, 1633, 1673, 2430, 2519, 2534, 2550, 2730, 2801, 2905, 3215, 3233, 3235, 3311, 3314, 3333, 4230, 6215, 6234, 6274, 6334, 6343, 6373, 6374, 6619, 6902, 6904, 6905, 8005, 8031, 8034, 8035, 8036, 8200, 8201, 8378, 8510, 9091, 9118, 9119, 9227, 9305, 9321, 9323, 9435, 9438, 9574, 1164, 1562, 4254, 4373, 6266, 6268, 6366, 6560, 9004, 9009, 9019, 9022, 9027, 9035, 9041, 9047, 9064, 9071, 9072, 9079, 9082, 9319, 9325, 9326, 9330, 9578, 9579, 9585, 9586, 9595, 9597, 9598, 9623, 9626, 9716, 9746, 9760, 9767, 9768, 9769, 9770, 9798, 0113, 0213, 0214, 1163, 1260, 1361, 1560, 1561, 1566, 1668, 1860, 6060, 6063, 6073, 6161, 6260, 6261, 6262, 6263, 6264, 6265, 6276, 6286, 6360, 6361, 6362, 6363, 6364, 6365, 6376, 6386, 6562, 6563, 6568, 6663, 8261, 8267, 8269, 9008, 9014, 9015, 9017, 9018, 9020, 9023, 9024, 9025, 9030, 9033, 9034, 9050, 9052, 9053, 9054, 9084, 9093, 9700, 9736, 9751, 9754, 9759, 9762, 9764, 9766, 9772, 9775, 9776, 9780, 9782, 9785, 9786, 9790, 9792, 9794, 9795, 9796, 1563, 2860, 2861, 2862, 2863, 2864, 2869, 4360, 6062, 6064, 6065, 9070, 9460, 9462, 9468, 9469, 9779, 2460, 2461, 2462, 2561, 2562, 2563, 2660, 2661, 2760, 4260, 4361, 6160, 8560, 8561, 8562, 8563, 8564, 8565, 9062, 9065, 9066, 9068, 9069, 9075, 9076, 9116, 9160, 9161, 9191, 9261, 9262, 9263, 9264, 9360, 9461, 9463, 9464, 9467, 9783, 9787, 9793, 9797, 2498, 2598, 2721, 2724, 4310, 5499",,
,Women,"6775, 1117, 1177, 5400, 5401, 5900, 5901, 8047, 9470, 9471, 9483, 9484, 9491, 9492, 9562, 1247, 1347, 1367, 2516, 2573, 6147, 6247, 6703, 6734, 8017, 8073, 8107, 9031, 9046, 9048, 9122, 9212, 9228, 9229, 9246, 9477, 9913, 1127, 1207, 1237, 2497, 2597, 2702, 2827, 2877, 2897, 6700, 6743, 8027, 8057, 8070, 8077, 9110, 9112, 9169, 9214, 9216, 9220, 9221, 9224, 9225, 9226, 9240, 9453, 9901, 1107, 1137, 9091, 9227, 9305, 9321, 9323, 9574, 9004, 9009, 9019, 9022, 9027, 9035, 9041, 9047, 9064, 9071, 9072, 9079, 9319, 9326, 9330, 9578, 9579, 9585, 9586, 9597, 9598, 9623, 9626, 9746, 9760, 1167, 1567, 6760, 6797, 9008, 9014, 9015, 9017, 9018, 9020, 9023, 9024, 9030, 9033, 9034, 9050, 9052, 9053, 9054, 9084, 9093, 9751, 9754, 9759, 9766, 9792, 2867, 2876, 9070, 9476, 9779, 2467, 2476, 2667, 9062, 9065, 9066, 9068, 9069, 9075, 9076, 9160, 9161, 9191, 9360, 9465, 9466, 9787, 9797, 2537, 2806, 5499, 6771",,
,Junior,"7512, 7575, 7514, 7507, 7505",,
Segment,Workwear,"1112, 1158, 1304, 6775, 1106, 1117, 1177, 1801, 4502, 4558, 5400, 5401, 5900, 5901, 6590, 8102, 1100, 1950, 2894, 6241, 6341, 7512, 7575, 8020, 8021, 8023, 8026, 8042, 8045, 8047, 8520, 8521, 9470, 9471, 9480, 9481, 9482, 9483, 9484, 9485, 9486, 9491, 9492, 9493, 9494, 9562, 1130, 1200, 1205, 1218, 1230, 1247, 1330, 1347, 1367, 1902, 1908, 1915, 1940, 1948, 1980, 2516, 2573, 2586, 2590, 2718, 2810, 2898, 2899, 3223, 4505, 6100, 6108, 6110, 6112, 6140, 6141, 6147, 6172, 6173, 6175, 6178, 6201, 6208, 6210, 6214, 6224, 6247, 6251, 6271, 6275, 6310, 6314, 6324, 6351, 6371, 6375, 6515, 6580, 6593, 6703, 6734, 6800, 6801, 6803, 6873, 6901, 6923, 6934, 6940, 6943, 6948, 6972, 7514, 8004, 8017, 8018, 8041, 8044, 8059, 8073, 8075, 8101, 8107, 8134, 8400, 8404, 8405, 9031, 9046, 9048, 9122, 9212, 9228, 9229, 9246, 9477, 9913, 1102, 1127, 1132, 1148, 1207, 1229, 1237, 1300, 1830, 1981, 2405, 2411, 2427, 2431, 2433, 2496, 2497, 2502, 2505, 2511, 2512, 2517, 2526, 2527, 2529, 2530, 2535, 2536, 2538, 2539, 2558, 2597, 2608, 2612, 2702, 2708, 2750, 2800, 2818, 2827, 2830, 2831, 2834, 2835, 2838, 2839, 2840, 2841, 2842, 2845, 2846, 2877, 2886, 2890, 2892, 2895, 2897, 2911, 3211, 3214, 4250, 4512, 4902, 6051, 6135, 6136, 6138, 6142, 6143, 6151, 6153, 6230, 6233, 6243, 6301, 6331, 6400, 6530, 6620, 6630, 6639, 6700, 6743, 6903, 6914, 6931, 6932, 6933, 6955, 6956, 8019, 8022, 8024, 8025, 8027, 8028, 8029, 8037, 8038, 8039, 8057, 8058, 8070, 8077, 8233, 8243, 8516, 8522, 9110, 9112, 9153, 9169, 9214, 9216, 9220, 9221, 9224, 9225, 9226, 9240, 9436, 9448, 9453, 9901, 1107, 1137, 1138, 1633, 1673, 2430, 2519, 2534, 2550, 2730, 2801, 2905, 3215, 3233, 3235, 3311, 3314, 3333, 4230, 6215, 6234, 6334, 6343, 6619, 6902, 6904, 6905, 7507, 8005, 8031, 8034, 8035, 8036, 8200, 8201, 8378, 8510, 9091, 9118, 9119, 9227, 9305, 9321, 9323, 9435, 9438, 9574, 4254, 4373, 9004, 9009, 9019, 9022, 9027, 9035, 9041, 9047, 9064, 9071, 9072, 9079, 9082, 9319, 9325, 9326, 9330, 9578, 9579, 9585, 9586, 9595, 9597, 9598, 9623, 9626, 9716, 9746, 9760, 9767, 9768, 9769, 9770, 9798, 0113, 0213, 0214, 6073, 7505, 9008, 9014, 9015, 9017, 9018, 9020, 9023, 9024, 9025, 9030, 9033, 9034, 9050, 9052, 9053, 9054, 9084, 9093, 9700, 9736, 9751, 9754, 9759, 9762, 9764, 9766, 9772, 9775, 9776, 9780, 9782, 9785, 9786, 9790, 9792, 9794, 9795, 9796, 9116, 9191, 2498, 2537, 2598, 2721, 2724, 2806, 4310, 5499, 6771",,
,Protective Wear,"9112, 6274, 6373, 6374, 1164, 1562, 6266, 6268, 6366, 6560, 1163, 1167, 1260, 1361, 1560, 1561, 1566, 1567, 1668, 1860, 6060, 6063, 6161, 6260, 6261, 6262, 6263, 6264, 6265, 6276, 6286, 6360, 6361, 6362, 6363, 6364, 6365, 6376, 6386, 6562, 6563, 6568, 6663, 6760, 6797, 8261, 8267, 8269, 1563, 2860, 2861, 2862, 2863, 2864, 2867, 2869, 2876, 4360, 6062, 6064, 6065, 9070, 9460, 9462, 9468, 9469, 9476, 9779, 2460, 2461, 2462, 2467, 2476, 2561, 2562, 2563, 2660, 2661, 2667, 2760, 4260, 4361, 6160, 8560, 8561, 8562, 8563, 8564, 8565, 9062, 9065, 9066, 9068, 9069, 9075, 9076, 9116, 9160, 9161, 9191, 9261, 9262, 9263, 9264, 9360, 9461, 9463, 9464, 9465, 9466, 9467, 9783, 9787, 9793, 9797",,
,Service Wear,"4502, 8102, 1100, 6341, 1200, 1367, 2516, 2718, 2810, 4505, 6100, 6800, 6801, 6873, 6901, 8004, 8017, 8101, 9031, 9229, 1102, 1207, 1229, 2502, 2702, 2708, 2818, 4512, 6143, 6400, 6700, 9221, 9224, 9225, 9226, 1107, 1673, 2550, 8005, 8510, 9227, 9305, 9321, 9323, 9574, 4373, 9009, 9071, 9079, 9319, 9325, 9326, 9578, 9579, 9585, 9586, 9597, 9760, 6073, 9034, 9759, 9766, 9782, 9786, 2498, 2598, 2724",,
Material,Softshell,"1200, 1230, 1940, 6940, 1207, 1229, 1237",,
,Polyethylene,"9110, 9118, 9579",,
,Wool,"2905, 1563, 9261, 9263",,
,Modactylic,"6261, 6263, 6264, 6265, 6276, 6361, 6568",,
